manutencao_id,condominio,tipo_intervencao,area_afetada,descricao,data_reportada,data_inicio,data_conclusao,fornecedor,custo_total,urgencia,estado
MN00001,jardins da cidade,Reparação urgente,Fachada,Humidade ascendente no piso térreo,2024-05-27,2024-05-31,2024-06-05,ProServiços Solutions,2769.76,Alta,Concluído
MN00002,condomínio central,Inspeção,Elevador,Avaria no sistema de travagem,2023-10-30,2023-11-02,2023-11-08,TecnoReparações Unipessoal,4026.2,Alta,Concluído
MN00003,residencial atlântico,Melhoria,Garagem,Piso com fissuras e buracos,2024-10-28,2024-10-28,2024-11-02,ProServiços Group,3245.18,Crítica,Concluído
MN00004,Torres do Sol,Inspeção,Jardim,Poda de árvores urgente,2025-06-01,2025-06-03,2025-06-13,ProServiços Group,76.06,alta,Concluído
MN00005,TORRES DO SOL,Reparação urgente,Telhado,Estrutura de suporte com sinais de degradação,2025-07-19,2025-07-25,2025-07-29,GlobalTec Group,13734.16,Alta,Concluído
MN00006,vila verde,Reparação urgente,Piscina,Vedação de segurança danificada,2024-05-07,2024-05-09,2024-05-15,masterfix lda,1932.7,Alta,Concluído
MN00007,Vila Verde,Inspeção,Elevador,Ruído excessivo durante funcionamento,2024-07-16,2024-09-02,2024-08-08,masterfix lda,4496.97,Baixa,Concluído
MN00008,jardins da cidade,Inspeção,Elevador,Botões do painel não respondem,2024-05-02,2024-05-04,2024-05-08,SmartRepair Solutions,3901.79,Crítica,Concluído
MN00009,vila verde,Inspeção,Fachada,Pintura descascada em várias zonas,2025-03-28,2025-03-31,2025-04-07,SmartRepair Lda,7725.41,Alta,Concluído
MN00010,RESIDENCIAL ATLÂNTICO,Manutenção preventiva,Elevador,Avaria no sistema de travagem,2024-07-23,2024-08-01,2024-08-17,GlobalTec Unipessoal,2784.13,Média,Concluído
MN00011,Jardins da Cidade,Manutenção preventiva,Elevador,Ruído excessivo durante funcionamento,2025-03-12,2025-03-30,2025-04-13,GlobalTec Group,3790.69,Média,Concluído
MN00012,Torres do Sol,Reparação urgente,Fachada,Humidade ascendente no piso térreo,2024-08-27,2024-09-02,2024-09-06,masterfix lda,14339.52,Alta,Concluído
MN00013,vila verde,Melhoria,Elevador,Ruído excessivo durante funcionamento,2025-07-06,2025-07-31,,ProServiços SA,969.36,Baixa,Em curso
MN00014,vila verde,Reparação urgente,Garagem,Iluminação insuficiente,2024-07-07,2024-07-12,2024-07-19,masterfix lda,2706.67,Alta,Concluído
MN00015,VILA VERDE,Manutencao preventiva,Telhado,Sistema de drenagem entupido,2023-09-04,2023-09-06,2023-09-11,TecnoReparações Unipessoal,17123.19,Crítica,Concluído
